wave_index,slug,title,venue,arxiv_url,code_url
62,62_musczeroshotindust,MuSc: Zero-Shot Industrial Anomaly Classification and Segmentation with Mutual Scoring of the Unlabeled Images,ICLR 2024,https://arxiv.org/abs/2401.16753,https://github.com/xrli-U/MuSc
63,63_nearrealtimemonito,Near-real-time monitoring of global ocean carbon sink,Scientific Data 2024,https://doi.org/10.6084/m9.figshare.24658494.v1,https://github.com/kepiyu/CMO-NRT
64,64_neupl,NeuPL: Neural Population Learning,ICLR 2022,https://arxiv.org/abs/2202.07415,
65,65_neuraltangentkerne,A Neural Tangent Kernel Perspective of Infinite Tree Ensembles,ICLR 2022,https://arxiv.org/abs/2109.04983,
66,66_neuralunbalancedop,Neural Unbalanced Optimal Transport via Cycle-Consistent Semi-Couplings,,https://arxiv.org/abs/2209.15621,
67,67_neurosymboliclangu,Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval,ICML 2022,https://arxiv.org/abs/2201.12431,https://github.com/neulab/retomaton
68,68_neuroformer,Neuroformer: Multimodal and Multitask Generative Pretraining for Brain Data,ICLR 2024,https://arxiv.org/abs/2311.00136,https://github.com/a-antoniades/Neuroformer
69,69_ontheconvergenceof,On the Convergence of mSGD and AdaGrad for Stochastic Optimization,,https://arxiv.org/abs/2201.11204,
70,70_pixiuacomprehensiv,"PIXIU: A Comprehensive Benchmark, Instruction Dataset and Large Language Model for Finance",NeurIPS 2023,https://arxiv.org/abs/2306.05443,https://github.com/chancefocus/PIXIU
71,71_parallelsamplingof,Parallel Sampling of Diffusion Models,NeurIPS 2023,https://arxiv.org/abs/2305.16317,https://github.com/AndyShih12/paradigms
72,72_patchrot,PatchRot: A Self-Supervised Technique for Training Vision Transformers,NeurIPS 2022,https://arxiv.org/abs/2210.15722,https://github.com/s-chh/PatchRot
73,73_privacypreservingm,Privacy-Preserving Machine Learning for Collaborative Data Sharing via Auto-encoder Latent Space Embeddings,NeurIPS 2022,https://arxiv.org/abs/2211.05717,
74,74_quantifyingnetwork,Quantifying Network Similarity using Graph Cumulants,JMLR 2023,http://jmlr.org/papers/v24/21-0828.html,
75,75_revisitingrobustne,Revisiting Robustness in Graph Machine Learning,ICLR 2023,https://arxiv.org/abs/2305.00851,
76,76_rvs,RvS: What is Essential for Offline RL via Supervised Learning?,ICLR 2022,https://arxiv.org/abs/2112.10751,https://github.com/scottemmons/rvs
77,77_scalingsphericalcn,Scaling Spherical CNNs,ICML 2023,https://arxiv.org/abs/2306.05420,https://github.com/google-research/spherical-cnn
78,78_selfsuperviseddete,Self-supervised detection of atmospheric phenomena from remotely sensed synthetic aperture radar imagery,NeurIPS 2022,https://ml4physicalsciences.github.io/2022/,
79,79_sitdataset,SiT Dataset: Socially Interactive Pedestrian Trajectory Dataset for Social Navigation Robots,NeurIPS 2023,https://spalaboratory.github.io/SiT/,https://spalaboratory.github.io/SiT/
80,80_sparseparameteriza,Sparse Parameterization for Epitomic Dataset Distillation,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/9e8889198d16fb79926e71adbe38cae4-Abstract.html,https://github.com/MIV-XJTU/SPEED
81,81_spatialgraphattent,Spatial Graph Attention and Curiosity-driven Policy for Antiviral Drug Discovery,ICLR 2022,https://arxiv.org/abs/2106.02190,https://github.com/yulun-rayn/DGAPN
82,82_stylemorphdisentan,StyleMorph: Disentangled 3D-Aware Image Synthesis with a 3D Morphable StyleGAN,ICLR 2023,https://openreview.net/forum?id=Ojpb1y8jflw,
83,83_subtractivemixture,Subtractive Mixture Models via Squaring: Representation and Learning,ICLR 2024,https://arxiv.org/abs/2310.00724,https://github.com/april-tools/squared-npcs
84,84_thehessianscreenin,The Hessian Screening Rule,NeurIPS 2022,https://arxiv.org/abs/2104.13026,https://github.com/jolars/HessianScreening
85,85_timesiam,TimeSiam: A Pre-Training Framework for Siamese Time-Series Modeling,ICML 2024,https://arxiv.org/abs/2402.02475,https://github.com/thuml/TimeSiam
86,86_towardsreasoningaw,Towards Reasoning-Aware Explainable VQA,NeurIPS 2022,https://arxiv.org/abs/2211.05190,
87,87_towardsunbiasedgra,Towards Unbiased Gravitational-Wave Parameter Estimation using Score-Based Likelihood Characterization,ICML 2023,https://arxiv.org/abs/2410.19956,
88,88_transformersparall,"Transformers, parallel computation, and logarithmic depth",ICML 2024,https://arxiv.org/abs/2402.09268,https://github.com/chsanford/hop-induction-heads
89,89_trulyscaleequivari,Truly Scale-Equivariant Deep Nets with Fourier Layers,NeurIPS 2023,https://arxiv.org/abs/2311.02922,https://github.com/ashiq24/Scale_Equivarinat_Fourier_Layer
90,90_unimax,UniMax: Fairer and More Effective Language Sampling for Large-Scale Multilingual Pretraining,ICLR 2023,https://arxiv.org/abs/2304.09151,https://github.com/google-research/t5x
91,91_unitabe,UniTabE: A Universal Pretraining Protocol for Tabular Foundation Model in Data Science,ICLR 2024,https://arxiv.org/abs/2307.09249,
92,92_unimask,Uni[MASK]: Unified Inference in Sequential Decision Problems,NeurIPS 2022,https://arxiv.org/abs/2211.10869,https://github.com/micahcarroll/uniMASK
93,93_unveilingprivacyme,"Unveiling Privacy, Memorization, and Input Curvature Links",ICML 2024,https://arxiv.org/abs/2402.18726,
94,94_vectormapnetendtoe,VectorMapNet: End-to-end Vectorized HD Map Learning,ICML 2023,https://arxiv.org/abs/2206.08920,https://tsinghua-mars-lab.github.io/vectormapnet/
95,95_videocomposercompo,VideoComposer: Compositional Video Synthesis with Motion Controllability,NeurIPS 2023,https://arxiv.org/abs/2306.02018,https://github.com/ali-vilab/videocomposer
96,96_visualcorresponden,Visual Correspondence Hallucination,ICLR 2022,https://arxiv.org/abs/2106.09711,
97,97_regrapheditnetwork,[Re] Graph Edit Networks,ReScience C 2022,https://openreview.net/forum?id=H5lOnzXhAY,https://github.com/MarusaOrazem/reproducibility_challenge
98,98_flabbenchmarking,FLAb: Benchmarking deep learning methods for antibody fitness prediction,NeurIPS 2023,https://doi.org/10.1101/2024.01.13.575504,https://github.com/Graylab/FLAb
99,99_rnaproteininter,RNA-Protein Interaction Classification via Sequence Embeddings,ICLR 2024,https://www.biorxiv.org/content/10.1101/2024.11.08.622607,
